Il,Nufus,GSYH_Dolar,Issizlik_Orani,Sinema_Koltuk,Sinema_Seyirci,Tiyatro_Koltuk,Tiyatro_Seyirci,KB_Sinema_Koltuk,KB_Tiyatro_Koltuk,KB_Sinema_Seyirci,KB_Tiyatro_Seyirci
BALIKESİR,1276096,11061.7545806585,5.844739963043085,3427.0,413913.0,7790.0,40458.0,0.0026855346306234014,0.006104556397010883,0.3243588256682883,0.03170451125934099
TEKİRDAĞ,1187162,17099.0075555483,7.3015924943432715,3552.0,443754.0,4511.0,83699.0,0.0029920095151293588,0.00379981839041344,0.37379397251596663,0.07050343592534128
AYDIN,1165943,9490.49717778082,10.11505189946938,2381.0,310182.0,3195.0,23902.0,0.0020421238431038223,0.0027402711796374263,0.2660353036126123,0.02050014451821401
KAHRAMANMARAŞ,1134105,8562.71152103069,14.579061745119489,1519.0,75400.0,2782.0,8273.0,0.0013393821559732123,0.002453035653665225,0.0664841438843846,0.007294739023282677
VAN,1118087,4598.29013535029,19.091094791088988,1555.0,200491.0,1104.0,94550.0,0.0013907683391363999,0.0009874008015476434,0.1793160997310585,0.08456408132819718
SAKARYA,1110735,12130.6876848702,8.319826199300847,4177.0,560349.0,3035.0,34757.0,0.0037605729539449103,0.002732424925837396,0.5044848681278613,0.031291892305545424
MUĞLA,1081867,13914.27319226,6.148134844465266,3748.0,423072.0,10002.0,55191.0,0.003464381481272652,0.009245129022328992,0.3910573111112549,0.05101458866940206
DENİZLİ,1061371,10803.3616575135,8.075375343895487,3216.0,393427.0,9480.0,111542.0,0.003030043217687312,0.008931843813332003,0.3706781134966001,0.10509237580450191
ESKİŞEHİR,921630,13686.3690858545,8.041878726592044,4436.0,665188.0,4086.0,95985.0,0.004813211375497759,0.004433449431984636,0.7217516790903074,0.10414700042316331
MARDİN,895911,7235.5405077541,10.470490908078519,1968.0,86012.0,2410.0,5565.0,0.002196646765136269,0.0026899993414524434,0.09600507193236828,0.006211554495926493
TRABZON,822270,8088.50159057677,7.662455893951943,3227.0,217806.0,2555.0,77864.0,0.003924501684361584,0.0031072518759045083,0.26488379729286,0.0946939569727705
ORDU,770711,6651.17007190925,7.680186147747037,1512.0,132130.0,3212.0,55134.0,0.0019618248604210916,0.004167580325180256,0.1714390997403696,0.07153654223178338
MALATYA,750491,7793.84212732599,6.418584405975672,2844.0,69126.0,2416.0,25720.0,0.0037895191281441085,0.0032192258135007616,0.0921077001589626,0.034270897319221685
AFYONKARAHİSAR,750193,8636.66086204474,8.038167731167007,1844.0,172249.0,1745.0,10877.0,0.0024580341325498903,0.0023260680918110407,0.22960624799218335,0.01449893560723707
ERZURUM,745005,7364.71015457151,7.345884958752247,2970.0,208251.0,1565.0,71012.0,0.003986550425836068,0.002100657042570184,0.2795296675861236,0.09531748109073093
BATMAN,654528,5865.62146694544,12.948801531211759,1702.0,63838.0,800.0,10790.0,0.0026003471203676545,0.0012222548156839738,0.0975328786545419,0.016485161826537597
SİVAS,637007,8385.47882251999,10.25233835646873,1845.0,181512.0,2041.0,61538.0,0.0028963574968563924,0.0032040464233517056,0.2849450633980474,0.0966049038707581
TOKAT,612674,6105.78916365435,6.93068224743181,1212.0,115867.0,1110.0,4200.0,0.0019782135360730175,0.001811730218680734,0.18911688761070325,0.006855195422035209
ADIYAMAN,611037,6564.17589080128,12.21294903665059,1400.0,38009.0,0.0,0.0,0.0022911869493991363,0.0,0.06220408911407983,0.0
ELAZIĞ,603941,8330.86950480906,7.934130044935027,758.0,174833.0,1863.0,26695.0,0.0012550894872181222,0.0030847384098777863,0.289486886964124,0.04420133754787305
